Professor_Code,professor_name,Years_of_Experience,Field_of_Expertise,Past_Mentee_Performance,Behavior_Rating,Feedback_Rating,Contact_Email
P2942,Richard  Burns,20,Data Science,7.42,9.37,6.97,richard..burns@univ.edu
P2943,Jeffrey  Sawyer,16,Data Science,7.97,6.32,4.48,jeffrey..sawyer@univ.edu
P2944,Jeffrey  Sawyer,5,Data Science,6.98,8.72,8.1,jeffrey..sawyer@univ.edu
P2945,Jeffrey  Sawyer,14,AI/ML,6.36,8.95,8.91,jeffrey..sawyer@univ.edu
P2946,Jeffrey  Sawyer,11,Mobile Development,7.34,8.25,5.94,jeffrey..sawyer@univ.edu
P2947,Jeffrey  Sawyer,9,Mobile Development,9.18,9.33,6.65,jeffrey..sawyer@univ.edu
P2948,Jeffrey  Sawyer,11,Mobile Development,7.38,10.0,7.76,jeffrey..sawyer@univ.edu
P2949,Jeffrey  Sawyer,15,AI/ML,5.47,9.43,6.86,jeffrey..sawyer@univ.edu
P2950,Jeffrey  Sawyer,20,Data Science,9.27,7.33,9.83,jeffrey..sawyer@univ.edu
P2951,Jeffrey  Sawyer,7,Data Science,6.02,8.89,7.46,jeffrey..sawyer@univ.edu
P2952,Jeffrey  Sawyer,15,Web Development,6.06,9.74,8.04,jeffrey..sawyer@univ.edu
P2953,Jeffrey  Sawyer,6,AI/ML,8.21,6.84,8.6,jeffrey..sawyer@univ.edu
P2954,Jeffrey  Sawyer,4,Cybersecurity,6.5,8.92,5.41,jeffrey..sawyer@univ.edu
P2955,Jeffrey  Sawyer,18,AI/ML,7.6,8.35,7.84,jeffrey..sawyer@univ.edu
P2956,Jeffrey  Sawyer,11,Web Development,7.51,8.88,6.85,jeffrey..sawyer@univ.edu
P2957,Rhoda  Jost,11,Web Development,7.53,5.93,6.66,rhoda..jost@univ.edu
P2958,Rhoda  Jost,8,Web Development,8.73,7.78,6.95,rhoda..jost@univ.edu
P2959,Rhoda  Jost,13,Data Science,6.68,7.05,7.35,rhoda..jost@univ.edu
P2960,Rhoda  Jost,3,Cybersecurity,7.04,8.43,6.73,rhoda..jost@univ.edu
P2961,Rhoda  Jost,6,Web Development,5.9,9.1,7.5,rhoda..jost@univ.edu
P2962,Rhoda  Jost,15,Mobile Development,7.9,5.3,6.2,rhoda..jost@univ.edu
P2963,Rhoda  Jost,15,Data Science,7.25,8.56,8.71,rhoda..jost@univ.edu
P2964,Rhoda  Jost,15,Cybersecurity,8.51,10.0,7.2,rhoda..jost@univ.edu
P2965,Rhoda  Jost,4,Mobile Development,7.44,10.0,8.59,rhoda..jost@univ.edu
P2966,Rhoda  Jost,11,Cybersecurity,9.08,10.0,9.11,rhoda..jost@univ.edu
P2967,Rhoda  Jost,10,Cybersecurity,6.85,9.27,9.62,rhoda..jost@univ.edu
P2968,Rhoda  Jost,9,Mobile Development,7.28,9.98,7.41,rhoda..jost@univ.edu
P2969,Rhoda  Jost,6,AI/ML,7.08,7.44,5.14,rhoda..jost@univ.edu
P2970,Rhoda  Jost,20,Cybersecurity,6.17,7.94,7.95,rhoda..jost@univ.edu
P2971,Rhoda  Jost,5,AI/ML,4.65,5.73,7.55,rhoda..jost@univ.edu
P2972,Rhoda  Jost,8,Cybersecurity,7.27,7.25,7.34,rhoda..jost@univ.edu
P2973,Rhoda  Jost,14,Mobile Development,5.08,9.34,7.99,rhoda..jost@univ.edu
P2974,Rhoda  Jost,14,Cybersecurity,7.56,8.82,8.33,rhoda..jost@univ.edu
P2975,Rhoda  Jost,10,Web Development,8.39,4.16,7.63,rhoda..jost@univ.edu
P2976,Rhoda  Jost,3,Web Development,6.93,8.15,7.22,rhoda..jost@univ.edu
P2977,Brandie  Siegfried,6,Cybersecurity,7.46,7.31,8.51,brandie..siegfried@univ.edu
P2978,Brandie  Siegfried,13,Mobile Development,7.5,7.61,8.97,brandie..siegfried@univ.edu
P2979,Brandie  Siegfried,5,Mobile Development,8.14,10.0,9.49,brandie..siegfried@univ.edu
P2980,Brandie  Siegfried,15,Data Science,6.88,6.41,8.38,brandie..siegfried@univ.edu
P2981,Brandie  Siegfried,19,Mobile Development,5.55,6.62,6.64,brandie..siegfried@univ.edu
P2982,Brandie  Siegfried,12,AI/ML,4.9,10.0,10.0,brandie..siegfried@univ.edu
P2983,Brandie  Siegfried,14,Cybersecurity,6.58,7.74,6.57,brandie..siegfried@univ.edu
P2984,Brandie  Siegfried,17,Web Development,5.04,9.54,7.58,brandie..siegfried@univ.edu
P2985,Brandie  Siegfried,12,Mobile Development,7.05,8.27,9.75,brandie..siegfried@univ.edu
P2986,Brandie  Siegfried,16,Web Development,7.3,8.15,7.78,brandie..siegfried@univ.edu
P2987,Brandie  Siegfried,15,Data Science,6.37,6.69,10.0,brandie..siegfried@univ.edu
P2988,Brandie  Siegfried,7,Cybersecurity,7.89,9.69,7.11,brandie..siegfried@univ.edu
P2989,Brandie  Siegfried,8,Mobile Development,7.19,9.2,6.84,brandie..siegfried@univ.edu
P2990,Brandie  Siegfried,4,Web Development,6.21,7.39,7.98,brandie..siegfried@univ.edu
P2991,Brandie  Siegfried,19,Mobile Development,6.45,8.01,6.67,brandie..siegfried@univ.edu
P2992,Brandie  Siegfried,6,Data Science,8.62,8.94,9.13,brandie..siegfried@univ.edu
P2993,Brandie  Siegfried,16,Web Development,4.96,6.76,6.71,brandie..siegfried@univ.edu
P2994,Brandie  Siegfried,12,Web Development,6.71,5.5,8.31,brandie..siegfried@univ.edu
P2995,Brandie  Siegfried,5,Cybersecurity,7.24,8.18,8.23,brandie..siegfried@univ.edu
P2996,Brandie  Siegfried,5,Cybersecurity,6.27,6.86,8.24,brandie..siegfried@univ.edu
P2997,Klaas  Kraay,17,Web Development,6.13,9.33,8.75,klaas..kraay@univ.edu
P2998,Klaas  Kraay,8,Cybersecurity,8.33,7.58,6.75,klaas..kraay@univ.edu
P2999,Klaas  Kraay,19,Web Development,9.45,6.03,7.75,klaas..kraay@univ.edu
P3000,Klaas  Kraay,14,AI/ML,6.6,8.28,7.2,klaas..kraay@univ.edu
P3001,Klaas  Kraay,13,Mobile Development,7.03,6.13,9.17,klaas..kraay@univ.edu
P3002,Klaas  Kraay,6,AI/ML,7.7,8.68,8.02,klaas..kraay@univ.edu
P3003,Klaas  Kraay,8,AI/ML,5.78,4.84,9.86,klaas..kraay@univ.edu
P3004,Klaas  Kraay,3,Mobile Development,7.08,8.04,9.4,klaas..kraay@univ.edu
P3005,Klaas  Kraay,18,Web Development,8.84,8.6,6.14,klaas..kraay@univ.edu
P3006,Klaas  Kraay,17,Web Development,9.86,6.2,7.44,klaas..kraay@univ.edu
P3007,Klaas  Kraay,19,Cybersecurity,5.5,9.9,7.77,klaas..kraay@univ.edu
P3008,Klaas  Kraay,10,Data Science,5.93,5.68,7.36,klaas..kraay@univ.edu
P3009,Klaas  Kraay,14,Web Development,6.48,8.46,6.85,klaas..kraay@univ.edu
P3010,Klaas  Kraay,12,Mobile Development,6.56,5.62,7.31,klaas..kraay@univ.edu
P3011,Klaas  Kraay,17,Data Science,8.3,6.38,8.28,klaas..kraay@univ.edu
P3012,Klaas  Kraay,11,Mobile Development,7.04,8.49,8.59,klaas..kraay@univ.edu
P3013,Klaas  Kraay,4,Mobile Development,8.2,8.72,6.33,klaas..kraay@univ.edu
P3014,Klaas  Kraay,7,Mobile Development,7.29,8.23,5.75,klaas..kraay@univ.edu
P3015,Klaas  Kraay,8,Data Science,6.86,9.11,6.11,klaas..kraay@univ.edu
P3016,Klaas  Kraay,9,AI/ML,7.54,6.11,7.47,klaas..kraay@univ.edu
P3017,Shahinda  Hafeez,3,Mobile Development,4.27,5.71,7.78,shahinda..hafeez@univ.edu
P3018,Shahinda  Hafeez,9,Cybersecurity,6.61,8.96,7.8,shahinda..hafeez@univ.edu
P3019,Shahinda  Hafeez,14,Web Development,6.65,5.38,7.1,shahinda..hafeez@univ.edu
P3020,Shahinda  Hafeez,18,Web Development,5.33,6.18,7.28,shahinda..hafeez@univ.edu
P3021,Shahinda  Hafeez,18,Web Development,8.61,7.82,5.74,shahinda..hafeez@univ.edu
P3022,Shahinda  Hafeez,13,Data Science,6.71,8.45,7.17,shahinda..hafeez@univ.edu
P3023,Shahinda  Hafeez,6,Cybersecurity,7.44,8.43,8.35,shahinda..hafeez@univ.edu
P3024,Shahinda  Hafeez,15,Cybersecurity,8.04,6.0,7.25,shahinda..hafeez@univ.edu
P3025,Shahinda  Hafeez,9,Cybersecurity,6.0,8.03,5.54,shahinda..hafeez@univ.edu
P3026,Shahinda  Hafeez,6,Cybersecurity,7.34,6.39,9.65,shahinda..hafeez@univ.edu
P3027,Shahinda  Hafeez,17,Cybersecurity,5.04,8.54,6.44,shahinda..hafeez@univ.edu
P3028,Shahinda  Hafeez,11,AI/ML,7.65,8.23,7.75,shahinda..hafeez@univ.edu
P3029,Shahinda  Hafeez,13,Cybersecurity,6.34,9.31,7.97,shahinda..hafeez@univ.edu
P3030,Shahinda  Hafeez,10,Cybersecurity,6.66,7.65,9.33,shahinda..hafeez@univ.edu
P3031,Shahinda  Hafeez,3,Data Science,8.35,7.3,7.4,shahinda..hafeez@univ.edu
P3032,Shahinda  Hafeez,10,Data Science,9.18,10.0,7.95,shahinda..hafeez@univ.edu
P3033,Shahinda  Hafeez,15,Cybersecurity,6.14,5.23,6.93,shahinda..hafeez@univ.edu
P3034,Shahinda  Hafeez,6,AI/ML,5.98,10.0,6.94,shahinda..hafeez@univ.edu
P3035,Shahinda  Hafeez,10,Cybersecurity,7.83,7.67,7.35,shahinda..hafeez@univ.edu
P3036,Shahinda  Hafeez,5,Cybersecurity,7.77,5.93,8.87,shahinda..hafeez@univ.edu
P3037,Camilla  Griggers,11,Cybersecurity,5.57,7.08,8.64,camilla..griggers@univ.edu
P3038,Camilla  Griggers,4,Mobile Development,6.97,9.22,6.68,camilla..griggers@univ.edu
P3039,Larry  Hardy,4,AI/ML,6.97,9.17,7.98,larry..hardy@univ.edu
P3040,Larry  Hardy,15,Web Development,6.95,10.0,7.78,larry..hardy@univ.edu
P3041,Larry  Hardy,17,Cybersecurity,7.79,8.25,7.32,larry..hardy@univ.edu
P3042,Larry  Hardy,14,Web Development,8.82,8.42,5.97,larry..hardy@univ.edu
P3043,Larry  Hardy,6,AI/ML,6.72,9.33,7.84,larry..hardy@univ.edu
P3044,Larry  Hardy,10,Cybersecurity,9.16,5.01,8.05,larry..hardy@univ.edu
P3045,Larry  Hardy,11,Web Development,6.85,7.82,7.21,larry..hardy@univ.edu
P3046,Larry  Hardy,7,Web Development,8.96,8.28,7.16,larry..hardy@univ.edu
P3047,Larry  Hardy,20,AI/ML,7.51,5.72,9.81,larry..hardy@univ.edu
P3048,Larry  Hardy,13,Cybersecurity,8.3,7.79,7.06,larry..hardy@univ.edu
P3049,Larry  Hardy,17,Mobile Development,8.13,7.03,8.75,larry..hardy@univ.edu
P3050,Larry  Hardy,11,AI/ML,6.03,7.82,7.19,larry..hardy@univ.edu
P3051,Larry  Hardy,19,Mobile Development,7.44,10.0,7.6,larry..hardy@univ.edu
P3052,Larry  Hardy,14,Cybersecurity,5.9,10.0,7.24,larry..hardy@univ.edu
P3053,Larry  Hardy,9,Web Development,6.88,7.82,7.47,larry..hardy@univ.edu
P3054,Larry  Hardy,12,AI/ML,5.63,8.75,6.16,larry..hardy@univ.edu
P3055,Larry  Hardy,12,AI/ML,6.76,9.63,8.46,larry..hardy@univ.edu
P3056,Larry  Hardy,15,AI/ML,7.07,8.59,6.9,larry..hardy@univ.edu
P3057,Larry  Hardy,13,Data Science,5.98,5.71,6.0,larry..hardy@univ.edu
P3058,Larry  Hardy,15,Cybersecurity,7.0,8.05,8.72,larry..hardy@univ.edu
P3059,Beth  Hilburn,10,Data Science,7.96,7.11,9.46,beth..hilburn@univ.edu
P3060,Beth  Hilburn,10,AI/ML,5.82,9.22,7.52,beth..hilburn@univ.edu
P3061,Beth  Hilburn,6,AI/ML,8.07,7.06,7.88,beth..hilburn@univ.edu
P3062,Beth  Hilburn,17,Mobile Development,8.11,8.1,8.66,beth..hilburn@univ.edu
P3063,Beth  Hilburn,13,Data Science,5.86,8.44,6.49,beth..hilburn@univ.edu
P3064,Beth  Hilburn,13,Web Development,3.86,6.69,7.79,beth..hilburn@univ.edu
P3065,Beth  Hilburn,3,Cybersecurity,8.31,6.31,9.12,beth..hilburn@univ.edu
P3066,Beth  Hilburn,19,Web Development,6.71,6.17,7.61,beth..hilburn@univ.edu
P3067,Beth  Hilburn,17,Web Development,7.0,10.0,7.15,beth..hilburn@univ.edu
P3068,Beth  Hilburn,8,Cybersecurity,9.43,8.95,7.64,beth..hilburn@univ.edu
P3069,Beth  Hilburn,17,AI/ML,7.51,7.98,6.55,beth..hilburn@univ.edu
P3070,Beth  Hilburn,11,Mobile Development,7.56,9.39,9.44,beth..hilburn@univ.edu
P3071,Beth  Hilburn,16,AI/ML,6.99,9.86,8.68,beth..hilburn@univ.edu
P3072,Beth  Hilburn,20,AI/ML,6.77,7.96,8.2,beth..hilburn@univ.edu
P3073,Beth  Hilburn,19,Data Science,6.92,8.59,7.71,beth..hilburn@univ.edu
P3074,Beth  Hilburn,20,Web Development,6.82,6.97,7.32,beth..hilburn@univ.edu
P3075,Beth  Hilburn,7,Web Development,4.98,10.0,6.75,beth..hilburn@univ.edu
P3076,Beth  Hilburn,11,Web Development,5.8,8.07,6.43,beth..hilburn@univ.edu
P3077,Beth  Hilburn,13,Mobile Development,6.93,9.73,8.89,beth..hilburn@univ.edu
P3078,Beth  Hilburn,3,Mobile Development,9.44,9.86,8.6,beth..hilburn@univ.edu
P3079,Brian  George,20,Mobile Development,5.33,8.24,6.35,brian..george@univ.edu
P3080,Brian  George,8,Cybersecurity,6.38,9.7,7.28,brian..george@univ.edu
P3081,Brian  George,4,Mobile Development,6.37,6.05,7.22,brian..george@univ.edu
P3082,Brian  George,17,Data Science,7.83,7.4,8.27,brian..george@univ.edu
P3083,Brian  George,16,Data Science,7.11,9.29,8.73,brian..george@univ.edu
P3084,Brian  George,7,AI/ML,6.23,7.45,6.48,brian..george@univ.edu
P3085,Brian  George,8,AI/ML,8.39,9.81,6.65,brian..george@univ.edu
P3086,Brian  George,8,AI/ML,5.81,8.62,6.9,brian..george@univ.edu
P3087,Brian  George,20,AI/ML,6.39,10.0,7.23,brian..george@univ.edu
P3088,Brian  George,16,Data Science,5.67,7.86,5.18,brian..george@univ.edu
P3089,Brian  George,12,AI/ML,8.19,8.0,4.89,brian..george@univ.edu
P3090,Brian  George,16,Data Science,6.94,8.44,7.65,brian..george@univ.edu
P3091,Brian  George,15,Mobile Development,6.15,9.22,7.78,brian..george@univ.edu
P3092,Brian  George,5,Mobile Development,7.54,6.07,7.47,brian..george@univ.edu
P3093,Philip  Burge,8,Cybersecurity,8.89,8.03,8.88,philip..burge@univ.edu
P3094,Philip  Burge,10,AI/ML,4.29,8.31,5.51,philip..burge@univ.edu
P3095,Philip  Burge,14,Mobile Development,7.74,7.59,9.56,philip..burge@univ.edu
P3096,Philip  Burge,15,Mobile Development,9.08,8.32,7.36,philip..burge@univ.edu
P3097,Philip  Burge,13,Web Development,8.87,6.99,7.52,philip..burge@univ.edu
P3098,Philip  Burge,14,Web Development,6.7,5.55,7.91,philip..burge@univ.edu
P3099,Philip  Burge,3,Data Science,7.12,7.61,6.29,philip..burge@univ.edu
P3100,Philip  Burge,19,Cybersecurity,7.25,5.32,6.96,philip..burge@univ.edu
P3101,Philip  Burge,18,Web Development,6.69,8.05,9.27,philip..burge@univ.edu
P3102,Philip  Burge,13,Cybersecurity,8.11,6.15,8.04,philip..burge@univ.edu
P3103,Philip  Burge,15,Mobile Development,5.07,9.36,7.4,philip..burge@univ.edu
P3104,Philip  Burge,20,Data Science,7.69,7.13,5.84,philip..burge@univ.edu
P3105,Philip  Burge,13,Cybersecurity,6.91,9.92,5.92,philip..burge@univ.edu
P3106,Philip  Burge,14,Web Development,8.21,7.28,6.94,philip..burge@univ.edu
P3107,Philip  Burge,8,Mobile Development,8.33,9.03,7.6,philip..burge@univ.edu
P3108,Philip  Burge,11,AI/ML,7.13,8.35,8.73,philip..burge@univ.edu
P3109,Philip  Burge,18,Mobile Development,6.25,9.3,8.56,philip..burge@univ.edu
P3110,Philip  Burge,6,Web Development,8.25,8.08,8.91,philip..burge@univ.edu
P3111,Philip  Burge,5,Web Development,5.47,9.95,7.2,philip..burge@univ.edu
P3112,Philip  Burge,18,AI/ML,5.74,8.16,6.06,philip..burge@univ.edu
P3113,Jeffrey  Nielsen,14,Mobile Development,6.91,8.88,6.67,jeffrey..nielsen@univ.edu
P3114,Jeffrey  Nielsen,13,Cybersecurity,6.38,6.68,7.62,jeffrey..nielsen@univ.edu
P3115,Jeffrey  Nielsen,7,Cybersecurity,6.74,9.27,7.99,jeffrey..nielsen@univ.edu
P3116,Jeffrey  Nielsen,20,Mobile Development,6.64,10.0,6.3,jeffrey..nielsen@univ.edu
P3117,Jeffrey  Nielsen,8,Cybersecurity,6.97,8.1,7.0,jeffrey..nielsen@univ.edu
P3118,Jeffrey  Nielsen,20,Mobile Development,8.78,6.84,6.4,jeffrey..nielsen@univ.edu
P3119,Jeffrey  Nielsen,8,Mobile Development,5.61,6.42,9.94,jeffrey..nielsen@univ.edu
P3120,Jeffrey  Nielsen,6,Web Development,6.44,5.93,8.44,jeffrey..nielsen@univ.edu
P3121,Richard  Fallon,14,Data Science,7.99,6.09,7.2,richard..fallon@univ.edu
P3122,Richard  Fallon,4,Web Development,7.04,6.89,7.03,richard..fallon@univ.edu
P3123,Richard  Fallon,19,Cybersecurity,5.84,5.68,9.44,richard..fallon@univ.edu
P3124,Richard  Fallon,13,Data Science,6.9,8.51,6.39,richard..fallon@univ.edu
P3125,Richard  Fallon,13,Mobile Development,5.19,6.85,7.39,richard..fallon@univ.edu
P3126,Richard  Fallon,18,Cybersecurity,8.24,9.11,6.56,richard..fallon@univ.edu
P3127,Richard  Fallon,4,AI/ML,7.14,9.67,6.72,richard..fallon@univ.edu
P3128,Richard  Fallon,4,Cybersecurity,9.64,8.57,8.01,richard..fallon@univ.edu
P3129,Richard  Fallon,10,Data Science,5.66,9.26,4.88,richard..fallon@univ.edu
P3130,Donna  Woolard,15,Data Science,6.2,7.05,9.52,donna..woolard@univ.edu
P3131,Donna  Woolard,12,Mobile Development,7.21,5.66,8.28,donna..woolard@univ.edu
P3132,Donna  Woolard,10,AI/ML,8.58,5.5,7.3,donna..woolard@univ.edu
P3133,Donna  Woolard,6,Mobile Development,6.42,7.34,6.19,donna..woolard@univ.edu
P3134,Donna  Woolard,17,AI/ML,6.16,8.02,4.92,donna..woolard@univ.edu
P3135,Donna  Woolard,3,AI/ML,7.09,7.85,7.29,donna..woolard@univ.edu
P3136,Donna  Woolard,13,Mobile Development,6.19,8.37,6.82,donna..woolard@univ.edu
P3137,Donna  Woolard,9,Cybersecurity,7.57,9.37,7.18,donna..woolard@univ.edu
P3138,Donna  Woolard,19,Web Development,7.09,10.0,7.52,donna..woolard@univ.edu
P3139,Donna  Woolard,20,AI/ML,7.84,8.89,8.49,donna..woolard@univ.edu
P3140,Donna  Woolard,14,Data Science,8.07,8.52,8.35,donna..woolard@univ.edu
P3141,Donna  Woolard,11,Mobile Development,7.44,7.38,7.89,donna..woolard@univ.edu
P3142,Donna  Woolard,7,Cybersecurity,8.38,5.78,9.11,donna..woolard@univ.edu
P3143,Donna  Woolard,12,AI/ML,6.59,7.11,7.31,donna..woolard@univ.edu
P3144,Donna  Woolard,6,Cybersecurity,5.27,7.64,7.67,donna..woolard@univ.edu
P3145,Donna  Woolard,7,Mobile Development,5.71,5.2,9.27,donna..woolard@univ.edu
P3146,Donna  Woolard,12,Data Science,6.9,7.03,9.67,donna..woolard@univ.edu
P3147,Donna  Woolard,13,AI/ML,7.5,9.8,7.69,donna..woolard@univ.edu
P3148,Donna  Woolard,12,AI/ML,7.7,7.91,7.25,donna..woolard@univ.edu
P3149,Donna  Woolard,10,Cybersecurity,6.22,8.53,9.09,donna..woolard@univ.edu
P3150,Phil  Matheson,4,Mobile Development,8.04,10.0,7.49,phil..matheson@univ.edu
P3151,Phil  Matheson,10,Web Development,4.22,8.15,7.12,phil..matheson@univ.edu
P3152,Phil  Matheson,18,AI/ML,6.34,8.09,7.34,phil..matheson@univ.edu
P3153,Phil  Matheson,7,Data Science,7.59,8.74,8.75,phil..matheson@univ.edu
P3154,Phil  Matheson,5,AI/ML,8.1,10.0,7.52,phil..matheson@univ.edu
P3155,Phil  Matheson,14,AI/ML,7.91,8.02,7.29,phil..matheson@univ.edu
P3156,Phil  Matheson,15,Web Development,8.12,7.82,6.52,phil..matheson@univ.edu
P3157,Phil  Matheson,15,Web Development,7.21,8.84,6.91,phil..matheson@univ.edu
P3158,Phil  Matheson,12,Mobile Development,6.85,9.02,8.22,phil..matheson@univ.edu
P3159,Phil  Matheson,6,AI/ML,4.75,7.79,8.36,phil..matheson@univ.edu
P3160,Phil  Matheson,11,AI/ML,6.71,8.07,5.81,phil..matheson@univ.edu
P3161,Phil  Matheson,4,Cybersecurity,5.62,7.81,7.77,phil..matheson@univ.edu
P3162,Phil  Matheson,3,Cybersecurity,7.74,9.14,8.77,phil..matheson@univ.edu
P3163,Phil  Matheson,9,Data Science,5.36,5.1,5.01,phil..matheson@univ.edu
P3164,Phil  Matheson,19,Data Science,6.81,10.0,8.06,phil..matheson@univ.edu
P3165,Phil  Matheson,5,Cybersecurity,5.57,8.23,8.47,phil..matheson@univ.edu
P3166,Phil  Matheson,5,Data Science,6.99,4.73,8.79,phil..matheson@univ.edu
P3167,Phil  Matheson,5,AI/ML,6.84,4.65,8.47,phil..matheson@univ.edu
P3168,Phil  Matheson,19,Web Development,4.9,7.88,6.97,phil..matheson@univ.edu
P3169,Phil  Matheson,9,AI/ML,7.41,5.03,6.04,phil..matheson@univ.edu
P3170,Susan  Murray,16,Cybersecurity,6.66,10.0,7.82,susan..murray@univ.edu
P3171,Susan  Murray,19,Mobile Development,7.03,10.0,8.08,susan..murray@univ.edu
P3172,Susan  Murray,20,Mobile Development,6.5,5.92,6.74,susan..murray@univ.edu
P3173,Susan  Murray,15,Cybersecurity,6.14,6.51,7.73,susan..murray@univ.edu
P3174,Susan  Murray,20,AI/ML,7.91,7.17,6.96,susan..murray@univ.edu
P3175,Susan  Murray,6,Data Science,8.24,8.03,7.97,susan..murray@univ.edu
P3176,Susan  Murray,3,Data Science,8.16,8.35,7.26,susan..murray@univ.edu
P3177,Susan  Murray,20,Mobile Development,5.36,6.52,5.72,susan..murray@univ.edu
P3178,Susan  Murray,3,Cybersecurity,8.67,10.0,7.85,susan..murray@univ.edu
P3179,Susan  Murray,15,Cybersecurity,7.68,9.06,8.53,susan..murray@univ.edu
P3180,Susan  Murray,12,Web Development,8.5,9.8,8.77,susan..murray@univ.edu
P3181,Susan  Murray,13,Mobile Development,8.48,8.0,7.14,susan..murray@univ.edu
P3182,Susan  Murray,11,Cybersecurity,7.42,10.0,8.06,susan..murray@univ.edu
P3183,Barbara  Von Barghahn-Calvetti,11,Web Development,6.05,7.83,5.99,barbara..von.barghahn-calvetti@univ.edu
P3184,Barbara  Von Barghahn-Calvetti,7,Data Science,6.09,5.91,10.0,barbara..von.barghahn-calvetti@univ.edu
P3185,Barbara  Von Barghahn-Calvetti,3,Mobile Development,6.18,9.69,5.58,barbara..von.barghahn-calvetti@univ.edu
P3186,Barbara  Von Barghahn-Calvetti,19,Mobile Development,6.78,6.36,4.92,barbara..von.barghahn-calvetti@univ.edu
P3187,Barbara  Von Barghahn-Calvetti,4,Cybersecurity,5.81,7.41,8.86,barbara..von.barghahn-calvetti@univ.edu
P3188,Barbara  Von Barghahn-Calvetti,15,Cybersecurity,4.94,6.72,8.92,barbara..von.barghahn-calvetti@univ.edu
P3189,Barbara  Von Barghahn-Calvetti,11,AI/ML,4.98,10.0,7.65,barbara..von.barghahn-calvetti@univ.edu
P3190,Barbara  Von Barghahn-Calvetti,6,Data Science,6.96,7.29,9.87,barbara..von.barghahn-calvetti@univ.edu
P3191,Barbara  Von Barghahn-Calvetti,7,Data Science,6.68,8.45,8.49,barbara..von.barghahn-calvetti@univ.edu
P3192,Barbara  Von Barghahn-Calvetti,13,Web Development,7.61,9.64,6.76,barbara..von.barghahn-calvetti@univ.edu
P3193,Barbara  Von Barghahn-Calvetti,5,Web Development,6.78,7.02,8.33,barbara..von.barghahn-calvetti@univ.edu
P3194,Barbara  Von Barghahn-Calvetti,14,AI/ML,8.38,8.61,6.15,barbara..von.barghahn-calvetti@univ.edu
P3195,Barbara  Von Barghahn-Calvetti,15,Data Science,6.29,7.51,6.75,barbara..von.barghahn-calvetti@univ.edu
P3196,Barbara  Von Barghahn-Calvetti,9,Web Development,7.4,8.32,9.32,barbara..von.barghahn-calvetti@univ.edu
P3197,Barbara  Von Barghahn-Calvetti,17,Data Science,7.66,8.02,7.42,barbara..von.barghahn-calvetti@univ.edu
P3198,Barbara  Von Barghahn-Calvetti,9,Data Science,7.06,9.5,7.3,barbara..von.barghahn-calvetti@univ.edu
P3199,Barbara  Von Barghahn-Calvetti,10,Web Development,8.22,7.82,8.19,barbara..von.barghahn-calvetti@univ.edu
P3200,Barbara  Von Barghahn-Calvetti,7,Cybersecurity,7.63,7.98,8.73,barbara..von.barghahn-calvetti@univ.edu
P3201,Barbara  Von Barghahn-Calvetti,16,Cybersecurity,7.97,10.0,9.72,barbara..von.barghahn-calvetti@univ.edu
P3202,Barbara  Von Barghahn-Calvetti,6,Web Development,6.23,5.92,7.34,barbara..von.barghahn-calvetti@univ.edu
P3203,Joseph  Fruscione,12,AI/ML,6.74,9.04,6.05,joseph..fruscione@univ.edu
P3204,Joseph  Fruscione,17,Mobile Development,4.38,10.0,8.61,joseph..fruscione@univ.edu
P3205,Joseph  Fruscione,20,Data Science,6.92,7.83,5.8,joseph..fruscione@univ.edu
P3206,Joseph  Fruscione,15,Mobile Development,5.36,6.02,7.48,joseph..fruscione@univ.edu
P3207,Joseph  Fruscione,10,Web Development,9.82,7.08,6.34,joseph..fruscione@univ.edu
P3208,Joseph  Fruscione,11,Data Science,7.36,7.6,7.66,joseph..fruscione@univ.edu
P3209,Joseph  Fruscione,18,Mobile Development,6.52,10.0,6.35,joseph..fruscione@univ.edu
P3210,Joseph  Fruscione,18,Cybersecurity,7.9,5.68,6.77,joseph..fruscione@univ.edu
P3211,Joseph  Fruscione,9,AI/ML,5.33,8.64,6.58,joseph..fruscione@univ.edu
P3212,Joseph  Fruscione,16,Mobile Development,6.41,5.8,4.25,joseph..fruscione@univ.edu
P3213,Joseph  Fruscione,16,AI/ML,6.58,7.22,6.74,joseph..fruscione@univ.edu
P3214,Joseph  Fruscione,6,Cybersecurity,7.77,9.77,9.9,joseph..fruscione@univ.edu
P3215,Joseph  Fruscione,17,Mobile Development,5.83,8.9,8.51,joseph..fruscione@univ.edu
P3216,Joseph  Fruscione,5,Web Development,6.16,8.59,8.24,joseph..fruscione@univ.edu
P3217,Joseph  Fruscione,7,Data Science,7.13,9.51,5.69,joseph..fruscione@univ.edu
P3218,Joseph  Fruscione,3,Cybersecurity,7.76,7.99,6.83,joseph..fruscione@univ.edu
P3219,Joseph  Fruscione,5,AI/ML,7.25,8.24,7.65,joseph..fruscione@univ.edu
P3220,Joseph  Fruscione,17,AI/ML,5.91,7.83,9.64,joseph..fruscione@univ.edu
P3221,Joseph  Fruscione,10,Cybersecurity,7.13,8.67,4.86,joseph..fruscione@univ.edu
P3222,Joseph  Fruscione,6,Web Development,6.18,8.6,7.51,joseph..fruscione@univ.edu
P3223,Linda  Shelton,4,Web Development,5.87,10.0,5.53,linda..shelton@univ.edu
P3224,Linda  Shelton,12,AI/ML,7.49,5.7,7.71,linda..shelton@univ.edu
